Publication Years	records	% of 554
2020	29	5.235
2019	48	8.664
2018	34	6.137
2017	35	6.318
2016	27	4.874
2015	29	5.235
2014	20	3.610
2013	20	3.610
2012	16	2.888
2011	20	3.610
2010	17	3.069
2009	23	4.152
2008	29	5.235
2007	9	1.625
2006	12	2.166
2005	13	2.347
2004	12	2.166
2003	9	1.625
2002	20	3.610
2001	16	2.888
2000	21	3.791
1999	8	1.444
1998	28	5.054
1997	4	0.722
1996	2	0.361
1995	6	1.083
1994	5	0.903
1993	2	0.361
1992	6	1.083
1991	9	1.625
1990	11	1.986
1989	2	0.361
1988	2	0.361
1987	7	1.264
1985	1	0.181
1982	1	0.181
1981	1	0.181
(0 records (0.000%) do not contain data in the field being analyzed.)
