Publication Years	records	% of 877
2020	143	16.306
2019	202	23.033
2018	167	19.042
2017	145	16.534
2016	103	11.745
2015	55	6.271
2014	25	2.851
2013	12	1.368
2012	5	0.570
2011	2	0.228
2010	3	0.342
2009	2	0.228
2008	2	0.228
2006	2	0.228
2005	1	0.114
2004	2	0.228
2003	2	0.228
2000	2	0.228
1998	1	0.114
1991	1	0.114
(0 records (0.000%) do not contain data in the field being analyzed.)
