Publication Years	records	% of 3893
2021	5	0.128
2020	525	13.486
2019	460	11.816
2018	395	10.146
2017	323	8.297
2016	295	7.578
2015	242	6.216
2014	243	6.242
2013	207	5.317
2012	155	3.982
2011	131	3.365
2010	154	3.956
2009	112	2.877
2008	109	2.800
2007	93	2.389
2006	84	2.158
2005	66	1.695
2004	52	1.336
2003	70	1.798
2002	38	0.976
2001	38	0.976
2000	33	0.848
1999	19	0.488
1998	19	0.488
1997	14	0.360
1996	4	0.103
1995	3	0.077
1994	3	0.077
1991	1	0.026
(0 records (0.000%) do not contain data in the field being analyzed.)
