Publication Years	records	% of 132
2020	6	4.545
2019	7	5.303
2018	3	2.273
2017	5	3.788
2016	7	5.303
2015	9	6.818
2014	1	0.758
2013	15	11.364
2012	2	1.515
2011	18	13.636
2010	1	0.758
2009	23	17.424
2008	2	1.515
2007	2	1.515
2006	1	0.758
2005	18	13.636
2004	1	0.758
2002	1	0.758
2001	1	0.758
2000	2	1.515
1998	2	1.515
1997	1	0.758
1996	2	1.515
1994	1	0.758
1991	1	0.758
(0 records (0.000%) do not contain data in the field being analyzed.)
