Word	X.period_P1	X.period_P2
maturation	4,7283	-4,7283
loosestrife	4,7283	-4,7283
curtain	4,7283	-4,7283
rsn	4,7283	-4,7283
problem	4,7014	-4,7014
graze	4,6865	-4,6865
subsurface	4,683	-4,683
superphosphate	4,6351	-4,6351
sample	4,6111	-4,6111
treatment	4,6077	-4,6077
rohu	4,5987	-4,5987
england	4,5891	-4,5891
turbulence	4,5779	-4,5779
alum	4,5495	-4,5495
advective	4,5295	-4,5295
roach	4,5273	-4,5273
carolina	4,5259	-4,5259
plankton	4,5151	-4,5151
transfer	4,4933	-4,4933
kjeldahl	4,4611	-4,4611
wale	4,4582	-4,4582
wheel	4,4328	-4,4328
biscayne	4,4328	-4,4328
mum	4,4328	-4,4328
clipping	4,4328	-4,4328
tolo	4,4328	-4,4328
output	4,4293	-4,4293
limit	4,4016	-4,4016
hurricane	4,3809	-4,3809
bray	4,3517	-4,3517
simply	4,3517	-4,3517
physical	4,349	-4,349
numb	4,3455	-4,3455
everglade	4,3448	-4,3448
weight	4,3421	-4,3421
option	4,3401	-4,3401
chalk	4,3317	-4,3317
perch	4,3317	-4,3317
ben	4,3243	-4,3243
boston	4,3243	-4,3243
columbia	4,3179	-4,3179
kong	4,3143	-4,3143
loading	4,2994	-4,2994
suspend	4,286	-4,286
atlantic	4,2829	-4,2829
inca	4,2829	-4,2829
sedimentation	4,2692	-4,2692
part	4,2623	-4,2623
rainfall	4,2313	-4,2313
feed	4,1769	-4,1769
bermudagrass	4,1679	-4,1679
yucatan	4,1372	-4,1372
elman	4,1372	-4,1372
pothole	4,1372	-4,1372
wue	4,1372	-4,1372
moth	4,1372	-4,1372
jackknife	4,1372	-4,1372
vitro	4,1372	-4,1372
lambourn	4,1372	-4,1372
pollen	4,1372	-4,1372
odour	4,1372	-4,1372
outwash	4,1372	-4,1372
inorganic	4,1345	-4,1345
plough	4,1177	-4,1177
inshore	4,1046	-4,1046
cooperative	4,1013	-4,1013
salton	4,1013	-4,1013
tall	4,1013	-4,1013
form	4,0975	-4,0975
residue	4,0594	-4,0594
front	4,0579	-4,0579
catskill	4,0511	-4,0511
sandy	4,0374	-4,0374
enter	4,026	-4,026
al	4,0112	-4,0112
fertilizer	3,9596	-3,9596
atmospheric	3,9429	-3,9429
stand	3,9422	-3,9422
earthen	3,9339	-3,9339
nleap	3,9339	-3,9339
kt	3,9339	-3,9339
floor	3,9339	-3,9339
coastal	3,9324	-3,9324
carlo	3,9203	-3,9203
daphnia	3,914	-3,914
hong	3,9056	-3,9056
mill	3,8996	-3,8996
blanket	3,8906	-3,8906
pike	3,8906	-3,8906
bed	3,8891	-3,8891
sampler	3,8853	-3,8853
road	3,8841	-3,8841
japan	3,8837	-3,8837
illustrate	3,8575	-3,8575
fia	3,8417	-3,8417
litre	3,8417	-3,8417
eaamod	3,8417	-3,8417
circinalis	3,8417	-3,8417
squaw	3,8417	-3,8417
gypsy	3,8417	-3,8417
casi	3,8417	-3,8417
waquoit	3,8417	-3,8417
thalassia	3,8417	-3,8417
halodule	3,8417	-3,8417
luxury	3,8417	-3,8417
rnn	3,8417	-3,8417
decatur	3,8417	-3,8417
shiner	3,8417	-3,8417
gpfarm	3,8417	-3,8417
topeka	3,8417	-3,8417
buffer	3,8378	-3,8378
greece	3,8282	-3,8282
pennsylvania	3,8076	-3,8076
allow	3,8014	-3,8014
singapore	3,779	-3,779
israel	3,779	-3,779
ping	3,779	-3,779
irradiance	3,7756	-3,7756
apatite	3,7577	-3,7577
cumulative	3,7443	-3,7443
annagnps	3,7375	-3,7375
productivity	3,7368	-3,7368
infiltration	3,7043	-3,7043
chemistry	3,6939	-3,6939
clover	3,6823	-3,6823
hydrographs	3,677	-3,677
limitation	3,6759	-3,6759
subwatershed	3,6731	-3,6731
mature	3,6686	-3,6686
less	3,6485	-3,6485
diatom	3,6256	-3,6256
seaweed	3,6095	-3,6095
gallus	3,6071	-3,6071
carcass	3,6071	-3,6071
ti	3,6071	-3,6071
cannonsville	3,6071	-3,6071
constant	3,6017	-3,6017
course	3,5817	-3,5817
site	3,5814	-3,5814
comparison	3,581	-3,581
subbasins	3,5771	-3,5771
ca	3,575	-3,575
monte	3,5716	-3,5716
louisiana	3,5468	-3,5468
erken	3,5462	-3,5462
m3p	3,5462	-3,5462
slapton	3,5462	-3,5462
incise	3,5462	-3,5462
ronnea	3,5462	-3,5462
cetina	3,5462	-3,5462
ekf	3,5462	-3,5462
slash	3,5462	-3,5462
unseal	3,5462	-3,5462
saudi	3,5462	-3,5462
leucaena	3,5462	-3,5462
lois	3,5462	-3,5462
dig	3,5462	-3,5462
hydrograph	3,5357	-3,5357
char	3,5172	-3,5172
ip	3,5172	-3,5172
landing	3,5083	-3,5083
analogue	3,5083	-3,5083
kd	3,5083	-3,5083
prognosis	3,5083	-3,5083
yorkshire	3,5083	-3,5083
box	3,5065	-3,5065
feedlot	3,4876	-3,4876
endanger	3,4876	-3,4876
difference	3,4853	-3,4853
log	3,4799	-3,4799
depletion	3,4785	-3,4785
goose	3,4728	-3,4728
nre	3,4569	-3,4569
atrazine	3,4478	-3,4478
link	3,4442	-3,4442
limnological	3,4418	-3,4418
economical	3,4249	-3,4249
burn	3,4189	-3,4189
rt	3,4189	-3,4189
tmdls	3,4189	-3,4189
seepage	3,4067	-3,4067
element	3,389	-3,389
bedrock	3,3883	-3,3883
indication	3,3883	-3,3883
shade	3,3883	-3,3883
second	3,374	-3,374
relate	3,3701	-3,3701
macroalgae	3,3681	-3,3681
actual	3,3593	-3,3593
wam	3,3547	-3,3547
herd	3,3547	-3,3547
schreb	3,3547	-3,3547
uan	3,3547	-3,3547
dimictic	3,3547	-3,3547
euphotic	3,3443	-3,3443
nevada	3,3443	-3,3443
week	3,3402	-3,3402
sweden	3,338	-3,338
virginia	3,338	-3,338
designate	3,3324	-3,3324
recirculate	3,3132	-3,3132
ammonia	3,3093	-3,3093
lump	3,3055	-3,3055
pepin	3,3055	-3,3055
ulva	3,2841	-3,2841
volatilization	3,2841	-3,2841
riparian	3,2824	-3,2824
saale	3,2791	-3,2791
herbicide	3,262	-3,262
enterovirus	3,2507	-3,2507
testudinum	3,2507	-3,2507
yupe	3,2507	-3,2507
tsp	3,2507	-3,2507
bluegrass	3,2507	-3,2507
chitosan	3,2507	-3,2507
minnetonka	3,2507	-3,2507
pang	3,2507	-3,2507
angeles	3,2507	-3,2507
boot	3,2507	-3,2507
tyrannus	3,2507	-3,2507
epco	3,2507	-3,2507
tcd	3,2507	-3,2507
lactuca	3,2507	-3,2507
tonsa	3,2507	-3,2507
oswego	3,2507	-3,2507
tasmanian	3,2507	-3,2507
fhantm	3,2507	-3,2507
swat2000	3,2507	-3,2507
klamath	3,2507	-3,2507
eucha	3,2507	-3,2507
lpms	3,2507	-3,2507
re_n	3,2507	-3,2507
pleuromamma	3,2507	-3,2507
lugg	3,2507	-3,2507
dian	3,2507	-3,2507
desorbable	3,2507	-3,2507
axios	3,2507	-3,2507
oligotrophy	3,2507	-3,2507
windrow	3,2507	-3,2507
droop	3,2507	-3,2507
feitsui	3,2503	-3,2503
progressive	3,2503	-3,2503
player	3,2461	-3,2461
divide	3,2429	-3,2429
british	3,2395	-3,2395
arundinacea	3,2395	-3,2395
douro	3,239	-3,239
stubble	3,239	-3,239
rhode	3,239	-3,239
bone	3,239	-3,239
perchlorate	3,239	-3,239
csm	3,239	-3,239
distiller	3,239	-3,239
boundary	3,2098	-3,2098
shallow	3,206	-3,206
fjord	3,2027	-3,2027
undisturbed	3,1932	-3,1932
silt	3,1807	-3,1807
historic	3,1744	-3,1744
matter	3,1742	-3,1742
amend	3,1698	-3,1698
drp	3,1682	-3,1682
account	3,1632	-3,1632
planktivorous	3,1545	-3,1545
correctly	3,1518	-3,1518
modification	3,1459	-3,1459
saline	3,1355	-3,1355
inhibitor	3,1333	-3,1333
solid	3,1162	-3,1162
pm	3,1109	-3,1109
germany	3,1096	-3,1096
scotland	3,1094	-3,1094
assumption	3,1092	-3,1092
density	3,108	-3,108
irowc	3,1047	-3,1047
beef	3,0911	-3,0911
di	3,0567	-3,0567
foam	3,0436	-3,0436
tully	3,0436	-3,0436
nitric	3,0436	-3,0436
hbv	3,0436	-3,0436
clayey	3,0436	-3,0436
tread	3,0436	-3,0436
agrochemicals	3,0436	-3,0436
rear	3,0428	-3,0428
tm	3,0394	-3,0394
emergent	3,0303	-3,0303
perturbation	3,029	-3,029
ntt	3,0249	-3,0249
pool	3,0226	-3,0226
dispersive	3,0222	-3,0222
festuca	3,0222	-3,0222
croix	3,0222	-3,0222
mos	3,0222	-3,0222
mol	3,0126	-3,0126
column	3,0009	-3,0009
benthic	2,9998	-2,9998
program	2,9983	-2,9983
predation	2,9889	-2,9889
biodegradable	2,9715	-2,9715
underpredicted	2,9715	-2,9715
charles	2,9715	-2,9715
petersburg	2,9715	-2,9715
tephra	2,9715	-2,9715
occur	2,9698	-2,9698
limestone	2,9676	-2,9676
dss	2,9676	-2,9676
particulate	2,9653	-2,9653
aer	2,9552	-2,9552
thermaikos	2,9552	-2,9552
desalinate	2,9552	-2,9552
characeae	2,9552	-2,9552
uniformity	2,9552	-2,9552
rotan	2,9552	-2,9552
modder	2,9552	-2,9552
ballona	2,9552	-2,9552
corral	2,9552	-2,9552
wwf	2,9552	-2,9552
edta	2,9552	-2,9552
translocation	2,9552	-2,9552
kaneohe	2,9552	-2,9552
gilvin	2,9552	-2,9552
crossing	2,9552	-2,9552
lakewater	2,9552	-2,9552
calbasu	2,9552	-2,9552
alf	2,9552	-2,9552
avoc	2,9552	-2,9552
dulse	2,9552	-2,9552
seepwillow	2,9552	-2,9552
nucss	2,9552	-2,9552
ccb	2,9552	-2,9552
yoy	2,9552	-2,9552
malawi	2,9552	-2,9552
mgd	2,9552	-2,9552
bagmati	2,9552	-2,9552
toss	2,9552	-2,9552
bod7	2,9552	-2,9552
pvi	2,9552	-2,9552
kno3	2,9552	-2,9552
marine	2,9392	-2,9392
comparative	2,9385	-2,9385
pond	2,9327	-2,9327
relation	2,9308	-2,9308
fan	2,9192	-2,9192
pre	2,91	-2,91
radiance	2,8943	-2,8943
coarse	2,8943	-2,8943
tilapia	2,8892	-2,8892
correspondence	2,8859	-2,8859
discuss	2,8692	-2,8692
nitrogen	2,8677	-2,8677
thermic	2,8571	-2,8571
fi	2,8571	-2,8571
mb	2,8571	-2,8571
instrumentation	2,8571	-2,8571
loosdrecht	2,8571	-2,8571
morphometry	2,8554	-2,8554
wtr	2,8402	-2,8402
set	2,8401	-2,8401
legume	2,8398	-2,8398
turbulent	2,8398	-2,8398
asia	2,8288	-2,8288
step	2,8287	-2,8287
approximately	2,8172	-2,8172
mass	2,8139	-2,8139
hr	2,8134	-2,8134
waterfowl	2,8134	-2,8134
corrosion	2,8134	-2,8134
fell	2,811	-2,811
citrus	2,811	-2,811
mmol	2,8013	-2,8013
phi	2,8013	-2,8013
kinneret	2,7901	-2,7901
exotic	2,7901	-2,7901
illinois	2,7897	-2,7897
measurement	2,7772	-2,7772
adjacent	2,7763	-2,7763
generation	2,7716	-2,7716
disturbance	2,7682	-2,7682
phytoplankton	2,7605	-2,7605
broiler	2,7574	-2,7574
concept	2,754	-2,754
basic	2,7515	-2,7515
stream	2,7511	-2,7511
dp	2,74	-2,74
bivalve	2,7395	-2,7395
calcareous	2,7365	-2,7365
forage	2,7364	-2,7364
level	2,7348	-2,7348
fruit	2,7307	-2,7307
immobilize	2,7307	-2,7307
silty	2,7307	-2,7307
confine	2,726	-2,726
photosynthesis	2,7176	-2,7176
participate	2,7059	-2,7059
1930s	2,7059	-2,7059
catla	2,7059	-2,7059
glaciate	2,7059	-2,7059
asiatica	2,7059	-2,7059
sinkhole	2,7059	-2,7059
cut	2,6794	-2,6794
commercial	2,6758	-2,6758
soc	2,6714	-2,6714
man	2,6704	-2,6704
upland	2,669	-2,669
generic	2,6636	-2,6636
seagrasses	2,6635	-2,6635
ridge	2,6635	-2,6635
complete	2,6518	-2,6518
predominantly	2,6436	-2,6436
chapter	2,6394	-2,6394
typic	2,6394	-2,6394
chlorophyll	2,6168	-2,6168
japonica	2,6123	-2,6123
cyprinus	2,6123	-2,6123
carpio	2,6123	-2,6123
df	2,6123	-2,6123
