year	records	var	label	cat	var_u
2005	1	wq_1	 Water Quality & Logic-Based AI	Water Quality 	_1
2004	1	wq_1	 Water Quality & Logic-Based AI	Water Quality 	_1
2003	2	wq_1	 Water Quality & Logic-Based AI	Water Quality 	_1
2002	1	wq_1	 Water Quality & Logic-Based AI	Water Quality 	_1
1999	1	wq_1	 Water Quality & Logic-Based AI	Water Quality 	_1
2020	29	wq_2	 Water Quality & Connexionnist AI	Water Quality 	_2
2019	23	wq_2	 Water Quality & Connexionnist AI	Water Quality 	_2
2018	13	wq_2	 Water Quality & Connexionnist AI	Water Quality 	_2
2017	8	wq_2	 Water Quality & Connexionnist AI	Water Quality 	_2
2016	14	wq_2	 Water Quality & Connexionnist AI	Water Quality 	_2
2015	17	wq_2	 Water Quality & Connexionnist AI	Water Quality 	_2
2014	16	wq_2	 Water Quality & Connexionnist AI	Water Quality 	_2
2013	20	wq_2	 Water Quality & Connexionnist AI	Water Quality 	_2
2012	17	wq_2	 Water Quality & Connexionnist AI	Water Quality 	_2
2011	12	wq_2	 Water Quality & Connexionnist AI	Water Quality 	_2
2010	12	wq_2	 Water Quality & Connexionnist AI	Water Quality 	_2
2009	4	wq_2	 Water Quality & Connexionnist AI	Water Quality 	_2
2008	11	wq_2	 Water Quality & Connexionnist AI	Water Quality 	_2
2007	6	wq_2	 Water Quality & Connexionnist AI	Water Quality 	_2
2006	8	wq_2	 Water Quality & Connexionnist AI	Water Quality 	_2
2005	6	wq_2	 Water Quality & Connexionnist AI	Water Quality 	_2
2004	3	wq_2	 Water Quality & Connexionnist AI	Water Quality 	_2
2003	3	wq_2	 Water Quality & Connexionnist AI	Water Quality 	_2
2001	2	wq_2	 Water Quality & Connexionnist AI	Water Quality 	_2
2000	1	wq_2	 Water Quality & Connexionnist AI	Water Quality 	_2
1999	1	wq_2	 Water Quality & Connexionnist AI	Water Quality 	_2
1998	2	wq_2	 Water Quality & Connexionnist AI	Water Quality 	_2
1997	1	wq_2	 Water Quality & Connexionnist AI	Water Quality 	_2
2020	5	wq_3	 Water Quality & Big Data	Water Quality 	_3
2019	1	wq_3	 Water Quality & Big Data	Water Quality 	_3
2018	1	wq_3	 Water Quality & Big Data	Water Quality 	_3
2015	1	wq_3	 Water Quality & Big Data	Water Quality 	_3
2013	1	wq_3	 Water Quality & Big Data	Water Quality 	_3
2010	1	wq_3	 Water Quality & Big Data	Water Quality 	_3
2021	2	wq_4	 Water Quality & Machine Learning	Water Quality 	_4
2020	47	wq_4	 Water Quality & Machine Learning	Water Quality 	_4
2019	30	wq_4	 Water Quality & Machine Learning	Water Quality 	_4
2018	26	wq_4	 Water Quality & Machine Learning	Water Quality 	_4
2017	12	wq_4	 Water Quality & Machine Learning	Water Quality 	_4
2016	11	wq_4	 Water Quality & Machine Learning	Water Quality 	_4
2015	14	wq_4	 Water Quality & Machine Learning	Water Quality 	_4
2014	6	wq_4	 Water Quality & Machine Learning	Water Quality 	_4
2013	10	wq_4	 Water Quality & Machine Learning	Water Quality 	_4
2012	7	wq_4	 Water Quality & Machine Learning	Water Quality 	_4
2011	8	wq_4	 Water Quality & Machine Learning	Water Quality 	_4
2010	8	wq_4	 Water Quality & Machine Learning	Water Quality 	_4
2009	5	wq_4	 Water Quality & Machine Learning	Water Quality 	_4
2008	1	wq_4	 Water Quality & Machine Learning	Water Quality 	_4
2007	1	wq_4	 Water Quality & Machine Learning	Water Quality 	_4
2006	1	wq_4	 Water Quality & Machine Learning	Water Quality 	_4
2005	1	wq_4	 Water Quality & Machine Learning	Water Quality 	_4
2004	3	wq_4	 Water Quality & Machine Learning	Water Quality 	_4
2003	2	wq_4	 Water Quality & Machine Learning	Water Quality 	_4
2002	1	wq_4	 Water Quality & Machine Learning	Water Quality 	_4
