year	records	var	label	cat	var_u
2020	4	traffic_1	 Traffic & Logic-Based AI	Traffic 	_1
2019	4	traffic_1	 Traffic & Logic-Based AI	Traffic 	_1
2018	1	traffic_1	 Traffic & Logic-Based AI	Traffic 	_1
2017	2	traffic_1	 Traffic & Logic-Based AI	Traffic 	_1
2016	6	traffic_1	 Traffic & Logic-Based AI	Traffic 	_1
2015	2	traffic_1	 Traffic & Logic-Based AI	Traffic 	_1
2014	1	traffic_1	 Traffic & Logic-Based AI	Traffic 	_1
2012	2	traffic_1	 Traffic & Logic-Based AI	Traffic 	_1
2010	1	traffic_1	 Traffic & Logic-Based AI	Traffic 	_1
2009	1	traffic_1	 Traffic & Logic-Based AI	Traffic 	_1
2008	2	traffic_1	 Traffic & Logic-Based AI	Traffic 	_1
2007	2	traffic_1	 Traffic & Logic-Based AI	Traffic 	_1
2003	1	traffic_1	 Traffic & Logic-Based AI	Traffic 	_1
2002	1	traffic_1	 Traffic & Logic-Based AI	Traffic 	_1
1997	1	traffic_1	 Traffic & Logic-Based AI	Traffic 	_1
1994	1	traffic_1	 Traffic & Logic-Based AI	Traffic 	_1
1992	1	traffic_1	 Traffic & Logic-Based AI	Traffic 	_1
2020	112	traffic_2	 Traffic & Connexionnist AI	Traffic 	_2
2019	101	traffic_2	 Traffic & Connexionnist AI	Traffic 	_2
2018	73	traffic_2	 Traffic & Connexionnist AI	Traffic 	_2
2017	30	traffic_2	 Traffic & Connexionnist AI	Traffic 	_2
2016	28	traffic_2	 Traffic & Connexionnist AI	Traffic 	_2
2015	15	traffic_2	 Traffic & Connexionnist AI	Traffic 	_2
2014	10	traffic_2	 Traffic & Connexionnist AI	Traffic 	_2
2013	15	traffic_2	 Traffic & Connexionnist AI	Traffic 	_2
2012	8	traffic_2	 Traffic & Connexionnist AI	Traffic 	_2
2011	3	traffic_2	 Traffic & Connexionnist AI	Traffic 	_2
2010	3	traffic_2	 Traffic & Connexionnist AI	Traffic 	_2
2009	6	traffic_2	 Traffic & Connexionnist AI	Traffic 	_2
2008	3	traffic_2	 Traffic & Connexionnist AI	Traffic 	_2
2007	4	traffic_2	 Traffic & Connexionnist AI	Traffic 	_2
2006	10	traffic_2	 Traffic & Connexionnist AI	Traffic 	_2
2005	3	traffic_2	 Traffic & Connexionnist AI	Traffic 	_2
2004	2	traffic_2	 Traffic & Connexionnist AI	Traffic 	_2
2003	1	traffic_2	 Traffic & Connexionnist AI	Traffic 	_2
2002	2	traffic_2	 Traffic & Connexionnist AI	Traffic 	_2
2001	2	traffic_2	 Traffic & Connexionnist AI	Traffic 	_2
2000	2	traffic_2	 Traffic & Connexionnist AI	Traffic 	_2
1999	2	traffic_2	 Traffic & Connexionnist AI	Traffic 	_2
1998	2	traffic_2	 Traffic & Connexionnist AI	Traffic 	_2
1996	3	traffic_2	 Traffic & Connexionnist AI	Traffic 	_2
2021	1	traffic_3	 Traffic & Big Data	Traffic 	_3
2020	29	traffic_3	 Traffic & Big Data	Traffic 	_3
2019	31	traffic_3	 Traffic & Big Data	Traffic 	_3
2018	36	traffic_3	 Traffic & Big Data	Traffic 	_3
2017	19	traffic_3	 Traffic & Big Data	Traffic 	_3
2016	18	traffic_3	 Traffic & Big Data	Traffic 	_3
2015	10	traffic_3	 Traffic & Big Data	Traffic 	_3
2014	3	traffic_3	 Traffic & Big Data	Traffic 	_3
2013	3	traffic_3	 Traffic & Big Data	Traffic 	_3
2012	1	traffic_3	 Traffic & Big Data	Traffic 	_3
2011	1	traffic_3	 Traffic & Big Data	Traffic 	_3
2004	1	traffic_3	 Traffic & Big Data	Traffic 	_3
2020	61	traffic_4	 Traffic & Machine Learning	Traffic 	_4
2019	74	traffic_4	 Traffic & Machine Learning	Traffic 	_4
2018	51	traffic_4	 Traffic & Machine Learning	Traffic 	_4
2017	45	traffic_4	 Traffic & Machine Learning	Traffic 	_4
2016	27	traffic_4	 Traffic & Machine Learning	Traffic 	_4
2015	30	traffic_4	 Traffic & Machine Learning	Traffic 	_4
2014	20	traffic_4	 Traffic & Machine Learning	Traffic 	_4
2013	15	traffic_4	 Traffic & Machine Learning	Traffic 	_4
2012	11	traffic_4	 Traffic & Machine Learning	Traffic 	_4
2011	18	traffic_4	 Traffic & Machine Learning	Traffic 	_4
2010	11	traffic_4	 Traffic & Machine Learning	Traffic 	_4
2009	12	traffic_4	 Traffic & Machine Learning	Traffic 	_4
2008	12	traffic_4	 Traffic & Machine Learning	Traffic 	_4
2007	9	traffic_4	 Traffic & Machine Learning	Traffic 	_4
2006	6	traffic_4	 Traffic & Machine Learning	Traffic 	_4
2005	4	traffic_4	 Traffic & Machine Learning	Traffic 	_4
2004	5	traffic_4	 Traffic & Machine Learning	Traffic 	_4
2003	4	traffic_4	 Traffic & Machine Learning	Traffic 	_4
2002	4	traffic_4	 Traffic & Machine Learning	Traffic 	_4
2000	2	traffic_4	 Traffic & Machine Learning	Traffic 	_4
1998	2	traffic_4	 Traffic & Machine Learning	Traffic 	_4
1997	1	traffic_4	 Traffic & Machine Learning	Traffic 	_4
2020	1	wq_1	 Water Quality & Logic-Based AI	Water Quality 	_1
2019	1	wq_1	 Water Quality & Logic-Based AI	Water Quality 	_1
2018	1	wq_1	 Water Quality & Logic-Based AI	Water Quality 	_1
2012	1	wq_1	 Water Quality & Logic-Based AI	Water Quality 	_1
2009	1	wq_1	 Water Quality & Logic-Based AI	Water Quality 	_1
2007	1	wq_1	 Water Quality & Logic-Based AI	Water Quality 	_1
