Word	X.period_P1	X.period_P2
aggressive	-3,7098	3,7098
subnetwork	-3,7071	3,7071
binary	-3,7064	3,7064
multivariate	-3,7018	3,7018
significantly	-3,696	3,696
span	-3,6857	3,6857
urban	-3,685	3,685
match	-3,6847	3,6847
term	-3,6618	3,6618
te	-3,6464	3,6464
av	-3,6464	3,6464
active	-3,6208	3,6208
advisory	-3,6057	3,6057
uphill	-3,6057	3,6057
influence	-3,5994	3,5994
melbourne	-3,5504	3,5504
cost	-3,5446	3,5446
string	-3,4908	3,4908
allocation	-3,4848	3,4848
china	-3,482	3,482
achieve	-3,4779	3,4779
rail	-3,4759	3,4759
boost	-3,4737	3,4737
spatio	-3,4576	3,4576
ode	-3,441	3,441
pce	-3,441	3,441
safe	-3,411	3,411
outperform	-3,4102	3,4102
subsidy	-3,4081	3,4081
dbn	-3,4081	3,4081
creep	-3,4081	3,4081
gpr	-3,4081	3,4081
smartphone	-3,4081	3,4081
degree	-3,3709	3,3709
temporally	-3,3688	3,3688
injury	-3,3673	3,3673
hydrodynamic	-3,35	3,35
behavior	-3,3427	3,3427
aim	-3,3399	3,3399
protection	-3,3279	3,3279
pressure	-3,3197	3,3197
harmonization	-3,318	3,318
firstly	-3,2953	3,2953
zhang	-3,2791	3,2791
analytics	-3,2778	3,2778
proactive	-3,2743	3,2743
duration	-3,2612	3,2612
network	-3,2578	3,2578
regular	-3,2574	3,2574
optimisation	-3,2473	3,2473
compliance	-3,2415	3,2415
tke	-3,1951	3,1951
manifold	-3,1951	3,1951
rf	-3,1951	3,1951
bn	-3,1951	3,1951
cd	-3,1951	3,1951
mail	-3,1951	3,1951
tc	-3,1951	3,1951
skid	-3,1951	3,1951
strain	-3,1951	3,1951
fluency	-3,1951	3,1951
ppp	-3,1951	3,1951
smartphones	-3,1951	3,1951
vac	-3,1951	3,1951
guidance	-3,1937	3,1937
ts	-3,1883	3,1883
delhi	-3,1883	3,1883
heterogeneity	-3,1651	3,1651
historical	-3,1625	3,1625
correction	-3,1555	3,1555
countermeasure	-3,1478	3,1478
consideration	-3,1432	3,1432
battery	-3,1339	3,1339
webster	-3,1246	3,1246
australia	-3,1239	3,1239
hard	-3,1124	3,1124
queue	-3,0651	3,0651
contribute	-3,0496	3,0496
leverage	-3,0394	3,0394
quantify	-3,0354	3,0354
reliable	-3,0354	3,0354
shuttle	-2,9998	2,9998
collaborative	-2,9998	2,9998
ahead	-2,9997	2,9997
commute	-2,9977	2,9977
novice	-2,9821	2,9821
mvs	-2,9821	2,9821
utn	-2,9821	2,9821
ridership	-2,9821	2,9821
convolutional	-2,9821	2,9821
tse	-2,9821	2,9821
viscoelastic	-2,9821	2,9821
recommendation	-2,9782	2,9782
regulator	-2,9703	2,9703
india	-2,968	2,968
intermittent	-2,9636	2,9636
lateral	-2,9587	2,9587
percentage	-2,9563	2,9563
reversible	-2,9415	2,9415
increasingly	-2,9343	2,9343
fvdm	-2,9322	2,9322
tri	-2,9322	2,9322
fvd	-2,9322	2,9322
rider	-2,9322	2,9322
fan	-2,9322	2,9322
play	-2,911	2,911
complexity	-2,902	2,902
enlarge	-2,8976	2,8976
manoeuvre	-2,8976	2,8976
identify	-2,897	2,897
pcu	-2,8726	2,8726
flight	-2,8726	2,8726
study	-2,8333	2,8333
adjacent	-2,8288	2,8288
limit	-2,8259	2,8259
