year	records	var	label	cat	var_u
2005	88	t_4	 Transportation and Machine Learning	Transportation	_4
2004	89	t_4	 Transportation and Machine Learning	Transportation	_4
2003	58	t_4	 Transportation and Machine Learning	Transportation	_4
2002	73	t_4	 Transportation and Machine Learning	Transportation	_4
2001	42	t_4	 Transportation and Machine Learning	Transportation	_4
2000	39	t_4	 Transportation and Machine Learning	Transportation	_4
1999	15	t_4	 Transportation and Machine Learning	Transportation	_4
1998	37	t_4	 Transportation and Machine Learning	Transportation	_4
1997	3	t_4	 Transportation and Machine Learning	Transportation	_4
1996	3	t_4	 Transportation and Machine Learning	Transportation	_4
1995	1	t_4	 Transportation and Machine Learning	Transportation	_4
1994	2	t_4	 Transportation and Machine Learning	Transportation	_4
2020	20	w_1	 Water & Logic-Based AI	Water	_1
2019	26	w_1	 Water & Logic-Based AI	Water	_1
2018	25	w_1	 Water & Logic-Based AI	Water	_1
2017	18	w_1	 Water & Logic-Based AI	Water	_1
2016	24	w_1	 Water & Logic-Based AI	Water	_1
2015	30	w_1	 Water & Logic-Based AI	Water	_1
2014	21	w_1	 Water & Logic-Based AI	Water	_1
2013	18	w_1	 Water & Logic-Based AI	Water	_1
2012	17	w_1	 Water & Logic-Based AI	Water	_1
2011	13	w_1	 Water & Logic-Based AI	Water	_1
2010	16	w_1	 Water & Logic-Based AI	Water	_1
2009	6	w_1	 Water & Logic-Based AI	Water	_1
2008	9	w_1	 Water & Logic-Based AI	Water	_1
2007	17	w_1	 Water & Logic-Based AI	Water	_1
2006	11	w_1	 Water & Logic-Based AI	Water	_1
2005	15	w_1	 Water & Logic-Based AI	Water	_1
2004	21	w_1	 Water & Logic-Based AI	Water	_1
2003	14	w_1	 Water & Logic-Based AI	Water	_1
2002	17	w_1	 Water & Logic-Based AI	Water	_1
2001	10	w_1	 Water & Logic-Based AI	Water	_1
2000	10	w_1	 Water & Logic-Based AI	Water	_1
1999	6	w_1	 Water & Logic-Based AI	Water	_1
1998	22	w_1	 Water & Logic-Based AI	Water	_1
1997	6	w_1	 Water & Logic-Based AI	Water	_1
1996	16	w_1	 Water & Logic-Based AI	Water	_1
1995	8	w_1	 Water & Logic-Based AI	Water	_1
1994	16	w_1	 Water & Logic-Based AI	Water	_1
1993	15	w_1	 Water & Logic-Based AI	Water	_1
1992	12	w_1	 Water & Logic-Based AI	Water	_1
1991	23	w_1	 Water & Logic-Based AI	Water	_1
1990	7	w_1	 Water & Logic-Based AI	Water	_1
1989	3	w_1	 Water & Logic-Based AI	Water	_1
1988	1	w_1	 Water & Logic-Based AI	Water	_1
2021	4	w_2	 Water & Connexionnist AI	Water	_2
2020	483	w_2	 Water & Connexionnist AI	Water	_2
2019	415	w_2	 Water & Connexionnist AI	Water	_2
2018	359	w_2	 Water & Connexionnist AI	Water	_2
2017	323	w_2	 Water & Connexionnist AI	Water	_2
2016	325	w_2	 Water & Connexionnist AI	Water	_2
2015	282	w_2	 Water & Connexionnist AI	Water	_2
2014	228	w_2	 Water & Connexionnist AI	Water	_2
2013	219	w_2	 Water & Connexionnist AI	Water	_2
2012	181	w_2	 Water & Connexionnist AI	Water	_2
2011	156	w_2	 Water & Connexionnist AI	Water	_2
2010	178	w_2	 Water & Connexionnist AI	Water	_2
2009	162	w_2	 Water & Connexionnist AI	Water	_2
2008	142	w_2	 Water & Connexionnist AI	Water	_2
2007	127	w_2	 Water & Connexionnist AI	Water	_2
2006	95	w_2	 Water & Connexionnist AI	Water	_2
2005	90	w_2	 Water & Connexionnist AI	Water	_2
2004	76	w_2	 Water & Connexionnist AI	Water	_2
2003	74	w_2	 Water & Connexionnist AI	Water	_2
2002	58	w_2	 Water & Connexionnist AI	Water	_2
2001	45	w_2	 Water & Connexionnist AI	Water	_2
2000	50	w_2	 Water & Connexionnist AI	Water	_2
1999	26	w_2	 Water & Connexionnist AI	Water	_2
1998	23	w_2	 Water & Connexionnist AI	Water	_2
1997	12	w_2	 Water & Connexionnist AI	Water	_2
1996	8	w_2	 Water & Connexionnist AI	Water	_2
1995	7	w_2	 Water & Connexionnist AI	Water	_2
1994	4	w_2	 Water & Connexionnist AI	Water	_2
1993	3	w_2	 Water & Connexionnist AI	Water	_2
1992	1	w_2	 Water & Connexionnist AI	Water	_2
2020	55	w_3	 Water & Big Data	Water	_3
2019	40	w_3	 Water & Big Data	Water	_3
2018	22	w_3	 Water & Big Data	Water	_3
2017	23	w_3	 Water & Big Data	Water	_3
2016	14	w_3	 Water & Big Data	Water	_3
2015	7	w_3	 Water & Big Data	Water	_3
2014	7	w_3	 Water & Big Data	Water	_3
2013	4	w_3	 Water & Big Data	Water	_3
2012	5	w_3	 Water & Big Data	Water	_3
2011	1	w_3	 Water & Big Data	Water	_3
2010	6	w_3	 Water & Big Data	Water	_3
2009	2	w_3	 Water & Big Data	Water	_3
2008	2	w_3	 Water & Big Data	Water	_3
2007	1	w_3	 Water & Big Data	Water	_3
2006	2	w_3	 Water & Big Data	Water	_3
2005	1	w_3	 Water & Big Data	Water	_3
2003	1	w_3	 Water & Big Data	Water	_3
2000	2	w_3	 Water & Big Data	Water	_3
1999	1	w_3	 Water & Big Data	Water	_3
1998	1	w_3	 Water & Big Data	Water	_3
1993	1	w_3	 Water & Big Data	Water	_3
2021	5	w_4	 Water & Machine Learning	Water	_4
2020	525	w_4	 Water & Machine Learning	Water	_4
2019	460	w_4	 Water & Machine Learning	Water	_4
2018	395	w_4	 Water & Machine Learning	Water	_4
2017	323	w_4	 Water & Machine Learning	Water	_4
2016	295	w_4	 Water & Machine Learning	Water	_4
2015	242	w_4	 Water & Machine Learning	Water	_4
2014	243	w_4	 Water & Machine Learning	Water	_4
2013	207	w_4	 Water & Machine Learning	Water	_4
2012	155	w_4	 Water & Machine Learning	Water	_4
2011	131	w_4	 Water & Machine Learning	Water	_4
2010	154	w_4	 Water & Machine Learning	Water	_4
2009	112	w_4	 Water & Machine Learning	Water	_4
2008	109	w_4	 Water & Machine Learning	Water	_4
2007	93	w_4	 Water & Machine Learning	Water	_4
2006	84	w_4	 Water & Machine Learning	Water	_4
2005	66	w_4	 Water & Machine Learning	Water	_4
2004	52	w_4	 Water & Machine Learning	Water	_4
2003	70	w_4	 Water & Machine Learning	Water	_4
2002	38	w_4	 Water & Machine Learning	Water	_4
2001	38	w_4	 Water & Machine Learning	Water	_4
2000	33	w_4	 Water & Machine Learning	Water	_4
1999	19	w_4	 Water & Machine Learning	Water	_4
1998	19	w_4	 Water & Machine Learning	Water	_4
1997	14	w_4	 Water & Machine Learning	Water	_4
1996	4	w_4	 Water & Machine Learning	Water	_4
1995	3	w_4	 Water & Machine Learning	Water	_4
1994	3	w_4	 Water & Machine Learning	Water	_4
1991	1	w_4	 Water & Machine Learning	Water	_4
