year	records	var
2021	21	traffic
2020	823	traffic
2019	945	traffic
2018	909	traffic
2017	807	traffic
2016	685	traffic
2015	650	traffic
2014	563	traffic
2013	491	traffic
2012	414	traffic
2011	355	traffic
2010	286	traffic
2009	370	traffic
2008	308	traffic
2007	257	traffic
2006	209	traffic
2005	184	traffic
2004	153	traffic
2003	180	traffic
2002	150	traffic
2001	117	traffic
2000	103	traffic
1999	52	traffic
1998	91	traffic
1997	43	traffic
1996	27	traffic
1995	29	traffic
1994	21	traffic
1993	20	traffic
1992	16	traffic
1991	5	traffic
1990	1	traffic
1987	1	traffic
1985	1	traffic
1977	1	traffic
1973	1	traffic
1971	1	traffic
1970	1	traffic
1969	2	traffic
1966	1	traffic
1961	2	traffic
2021	26	water_quality
2020	875	water_quality
2019	862	water_quality
2018	789	water_quality
2017	663	water_quality
2016	650	water_quality
2015	639	water_quality
2014	511	water_quality
2013	561	water_quality
2012	495	water_quality
2011	468	water_quality
2010	412	water_quality
2009	433	water_quality
2008	352	water_quality
2007	345	water_quality
2006	294	water_quality
2005	288	water_quality
2004	221	water_quality
2003	232	water_quality
2002	209	water_quality
2001	164	water_quality
2000	147	water_quality
1999	134	water_quality
1998	137	water_quality
1997	86	water_quality
1996	81	water_quality
1995	86	water_quality
1994	58	water_quality
1993	59	water_quality
1992	51	water_quality
1991	40	water_quality
1990	5	water_quality
1985	1	water_quality
