year	records	flnm	var	cat
2012	11	./data/water_quality/res_area/computer_science.txt	computer_science	water_quality
2011	31	./data/water_quality/res_area/computer_science.txt	computer_science	water_quality
2010	13	./data/water_quality/res_area/computer_science.txt	computer_science	water_quality
2009	31	./data/water_quality/res_area/computer_science.txt	computer_science	water_quality
2008	19	./data/water_quality/res_area/computer_science.txt	computer_science	water_quality
2007	17	./data/water_quality/res_area/computer_science.txt	computer_science	water_quality
2006	4	./data/water_quality/res_area/computer_science.txt	computer_science	water_quality
2005	24	./data/water_quality/res_area/computer_science.txt	computer_science	water_quality
2004	4	./data/water_quality/res_area/computer_science.txt	computer_science	water_quality
2003	8	./data/water_quality/res_area/computer_science.txt	computer_science	water_quality
2002	2	./data/water_quality/res_area/computer_science.txt	computer_science	water_quality
2001	4	./data/water_quality/res_area/computer_science.txt	computer_science	water_quality
2000	2	./data/water_quality/res_area/computer_science.txt	computer_science	water_quality
1999	1	./data/water_quality/res_area/computer_science.txt	computer_science	water_quality
1998	4	./data/water_quality/res_area/computer_science.txt	computer_science	water_quality
1996	1	./data/water_quality/res_area/computer_science.txt	computer_science	water_quality
2020	6	./data/water_quality/res_area/mathematics.txt	mathematics	water_quality
2019	7	./data/water_quality/res_area/mathematics.txt	mathematics	water_quality
2018	3	./data/water_quality/res_area/mathematics.txt	mathematics	water_quality
2017	5	./data/water_quality/res_area/mathematics.txt	mathematics	water_quality
2016	7	./data/water_quality/res_area/mathematics.txt	mathematics	water_quality
2015	9	./data/water_quality/res_area/mathematics.txt	mathematics	water_quality
2014	1	./data/water_quality/res_area/mathematics.txt	mathematics	water_quality
2013	15	./data/water_quality/res_area/mathematics.txt	mathematics	water_quality
2012	2	./data/water_quality/res_area/mathematics.txt	mathematics	water_quality
2011	18	./data/water_quality/res_area/mathematics.txt	mathematics	water_quality
2010	1	./data/water_quality/res_area/mathematics.txt	mathematics	water_quality
2009	23	./data/water_quality/res_area/mathematics.txt	mathematics	water_quality
2008	2	./data/water_quality/res_area/mathematics.txt	mathematics	water_quality
2007	2	./data/water_quality/res_area/mathematics.txt	mathematics	water_quality
2006	1	./data/water_quality/res_area/mathematics.txt	mathematics	water_quality
2005	18	./data/water_quality/res_area/mathematics.txt	mathematics	water_quality
2004	1	./data/water_quality/res_area/mathematics.txt	mathematics	water_quality
2002	1	./data/water_quality/res_area/mathematics.txt	mathematics	water_quality
2001	1	./data/water_quality/res_area/mathematics.txt	mathematics	water_quality
2000	2	./data/water_quality/res_area/mathematics.txt	mathematics	water_quality
1998	2	./data/water_quality/res_area/mathematics.txt	mathematics	water_quality
1997	1	./data/water_quality/res_area/mathematics.txt	mathematics	water_quality
1996	2	./data/water_quality/res_area/mathematics.txt	mathematics	water_quality
1994	1	./data/water_quality/res_area/mathematics.txt	mathematics	water_quality
1991	1	./data/water_quality/res_area/mathematics.txt	mathematics	water_quality
2020	3	./data/water_quality/res_area/physics.txt	physics	water_quality
2019	4	./data/water_quality/res_area/physics.txt	physics	water_quality
2018	4	./data/water_quality/res_area/physics.txt	physics	water_quality
2017	3	./data/water_quality/res_area/physics.txt	physics	water_quality
2016	2	./data/water_quality/res_area/physics.txt	physics	water_quality
2011	1	./data/water_quality/res_area/physics.txt	physics	water_quality
2009	3	./data/water_quality/res_area/physics.txt	physics	water_quality
1999	1	./data/water_quality/res_area/physics.txt	physics	water_quality
1994	1	./data/water_quality/res_area/physics.txt	physics	water_quality
